Recipient,Supplier,Year of order, ,Number ordered,0.1,Weapon designation,Weapon description,Number delivered,0.2,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
ETH,Soviet Union,1977,,20,?,D-20 152mm,towed gun,20,?,1977; 1978,New,Possibly second-hand,0.5,10,10
ETH,Soviet Union,1980,?,210,?,D-30 122mm,towed gun,210,?,1980; 1981; 1982; 1983; 1984; 1985; 1986,New,Possibly Second-hand,0.35,73.5,73.5
ETH,Soviet Union,1965,,1,,Il-14,transport aircraft,1,,1965,Second hand,Second-hand; aid,1.6,1.6,1.6
ETH,Soviet Union,1977,,350,?,K-13M,SRAAM,350,?,1977; 1978,New,For MiG-21 combat aircraft,0.07,24.5,24.5
ETH,Soviet Union,1977,?,150,?,M-30 122mm,towed gun,150,?,1977; 1978,Second hand,Second-hand,0.18,27,27
ETH,Soviet Union,1977,,100,?,M-30 122mm,towed gun,100,?,1977; 1978,Second hand,Second-hand,0.18,18,18
ETH,Soviet Union,1977,?,34,?,M-46 130mm,towed gun,34,?,1977; 1978,Second hand,Probably second-hand,0.26,8.84,8.84
ETH,Soviet Union,1985,,80,?,M-46 130mm,towed gun,80,?,1985; 1986,Second hand,Second-hand,0.26,20.8,20.8
ETH,Soviet Union,1977,?,1000,?,Malyutka,anti-tank missile,1000,?,1977; 1978,New,Incl for BMP-1 IFV and Mi-24A combat helicopters,0.01,10,10
ETH,Soviet Union,1980,?,350,?,Malyutka,anti-tank missile,350,?,1980; 1981; 1982,New,For Mi-24D combat helicopters,0.01,3.5,3.5
ETH,Soviet Union,1977,?,6,?,Mi-24A,combat helicopter,6,?,1977,New,No. could be up to 22,6.62,39.72,39.72
ETH,Soviet Union,1980,,30,?,Mi-24D/Mi-25,combat helicopter,30,?,1980; 1981; 1982,New,No. could be up to 36,8.25,247.5,247.5
ETH,Soviet Union,1977,,2,?,Mi-6T,transport helicopter,2,?,1978,Second hand,Probably second-hand; possibly aid,7.2,14.4,14.4
ETH,Soviet Union,1976,,2,,Mi-6T,transport helicopter,2,,1976,Second hand,Probably second-hand; aid; no. delivered could be 8,7.2,14.4,14.4
ETH,Soviet Union,1977,,30,?,Mi-8T,transport helicopter,30,?,1977; 1978,New,,6,180,180
ETH,Soviet Union,1976,?,2,,Mi-8T,transport helicopter,2,,1976,Second hand,Probably second-hand; aid,2.4,4.8,4.8
ETH,Soviet Union,1980,?,24,?,Mi-8T,transport helicopter,24,?,1980; 1981; 1982,New,,6,144,144
ETH,Soviet Union,1977,?,20,?,MiG-17,fighter aircraft,20,?,1977,Second hand,Second-hand; probably aid,1.4,28,28
ETH,Soviet Union,1985,?,30,?,MiG-21bis,fighter aircraft,30,?,1986; 1987; 1988,Second hand,Probably scond-hand,5,150,150
ETH,Soviet Union,1977,?,12,?,MiG-21MF,fighter aircraft,12,?,1977; 1978,New,,10.7,128.4,128.4
ETH,Soviet Union,1982,?,50,?,MiG-21MF,fighter aircraft,50,?,1982; 1983,Second hand,Second-hand; aid; no. delivered could be up to 150,4.28,214,214
ETH,Soviet Union,1977,?,36,?,MiG-21PF,fighter aircraft,36,?,1977; 1978,Second hand,Probably second-hand; probably aid; mainly flown by Cuban pilots,3.9,140.4,140.4
ETH,Soviet Union,1983,?,60,?,MiG-23BN,FGA aircraft,60,?,1983; 1984; 1985; 1986; 1987,New,Possibly aid; flown by Cuban pilots,11.5,690,690
ETH,Soviet Union,1978,,30,?,P-15U,anti-ship missile,30,?,1978; 1980; 1981,New,For Project-205M (Osa-2) FAC,0.7,21,21
ETH,Soviet Union,1990,?,1,,Project-12650 Yakhont,minehunter,1,,1991,New,,45,45,45
ETH,Soviet Union,1982,?,2,,Project-159,corvette,2,,1983; 1984,Second hand,Second-hand; Ethiopian designation Zerai Deres,22,44,44
ETH,Soviet Union,1978,?,4,,Project-205,FAC,4,?,1978; 1980; 1981,Second hand,Second-hand; Osa-2 version,17,68,68
ETH,Soviet Union,1977,?,2,,Project-206 Shtorm,FAC,2,,1978,New,Project-206E (Mol) version,22.5,45,45
ETH,Soviet Union,1984,?,2,,Project-206M Shtorm,FAC,2,,1985; 1986,New,,25,50,50
ETH,Soviet Union,1990,?,1,,Project-266M,minesweeper,1,,1991,New,Possibly second-hand,35,35,35
ETH,Soviet Union,1981,?,2,,Project-771,landing ship,2,,1981; 1983,Second hand,Second-hand,8,16,16
ETH,Soviet Union,1977,?,25,?,PT-76,light tank,25,?,1977; 1978,Second hand,Probably second-hand,0.36,9,9
ETH,Soviet Union,1977,,25,?,S-125 Pechora,SAM system,25,?,1977; 1978,New,,17.5,437.5,437.5
ETH,Soviet Union,1976,?,4,?,S-75 Dvina,SAM system,4,?,1977; 1978,Second hand,Probably second-hand,7.15,28.59,28.59
ETH,Soviet Union,1977,?,20,?,SON-9,fire control radar,20,?,1977; 1978; 1979; 1980,New,For use with S-60 57mm AA guns,0.6,12,12
ETH,Soviet Union,1977,,1500,?,Strela-2,portable SAM,1500,?,1977; 1978; 1979; 1980; 1981; 1982,New,,0.04,60,60
ETH,Soviet Union,1977,,50,?,T-12 100mm/2A19,towed gun,50,?,1977; 1978,Second hand,Probably second-hand,0.13,6.6,6.6
ETH,Soviet Union,1977,?,56,?,T-34-85,tank,56,?,1977,Second hand,Second-hand; possibly financed by Libya,0.38,21.28,21.28
ETH,Soviet Union,1977,,200,?,T-54,tank,200,?,1977; 1978,Second hand,Second-hand,0.44,88,88
ETH,Soviet Union,1977,?,200,?,T-55,tank,200,?,1977; 1978,New,Possibly second-hand; possibly from Czechoslovak production line,1.25,250,250
ETH,Soviet Union,1980,?,700,?,T-55,tank,700,?,1980; 1981; 1982; 1983; 1984; 1985; 1986; 1987; 1988,Second hand,Second-hand,0.5,350,350
ETH,Soviet Union,1977,?,20,?,T-62,tank,20,?,1977,New,Possibly from Czechoslovakian production line or second-hand,1.8,36,36
ETH,Soviet Union,1980,?,50,?,T-62,tank,50,?,1980,Second hand,Second-hand; designation uncertain (reported as 'tanks'),0.72,36,36
ETH,Soviet Union,1989,?,1,,Type-1844,tanker,1,,1990,Second hand,Second-hand,2,2,2
ETH,Soviet Union,1977,?,900,?,V-601,SAM,900,?,1977; 1978,New,,0.12,108,108
ETH,Soviet Union,1976,?,100,?,V-750,SAM,100,?,1977; 1978,New,Possibly second-hand,0.12,12,12
ETH,Soviet Union,1977,?,60,?,ZSU-23-4 Shilka,self-propelled AA gun,60,?,1978; 1979; 1980; 1981; 1982,New,,7,420,420
ETH,Soviet Union,1977,?,10,?,ZSU-57-2,self-propelled AA gun,10,?,1978,Second hand,Second-hand,0.48,4.8,4.8
ETH,unknown supplier(s),1961,?,2,,DC-4/C-54,transport aircraft,2,,1962,Second hand,Second-hand,2.5,5,5
ETH,unknown supplier(s),1980,?,50,?,Strela-2,portable SAM,50,?,1980; 1981; 1982; 1983,New,,0.04,2,2
ETH,South Yemen,1986,,3,,Project-205,FAC,3,,1986,Second hand,Second-hand; Osa-2 version,17,51,51
ETH,Yugoslavia,1960,,2,,Higgins 78ft,FAC,2,,1960,Second hand,Probably second-hand; Ethiopian designation Barracuda,2.8,5.6,5.6
ETH,Yugoslavia,1975,,1,,Kraljevica/PBR-509,patrol craft,1,,1975,Second hand,Second-hand,4.8,4.8,4.8
ETH,Yugoslavia,1977,?,30,?,M-47 Patton,tank,30,?,1977,Second hand,Second-hand,0.42,12.6,12.6
ETH,Syria,1974,?,100,?,Strela-2,portable SAM,100,?,1974; 1975,New,Possibly second-hand; aid,0.04,4,4
ETH,unknown supplier(s),1980,?,50,?,Strela-2,portable SAM,50,?,1980; 1981; 1982; 1983,New,Aid,0.04,2,2
ANG,China,1974,,25,?,Type-59,tank,25,?,1975,New,Aid; delivered via Zaire,0.9,22.5,22.5
CHA,unknown supplier(s),1978,?,10,?,Strela-2,portable SAM,10,?,1978,New,Probably second-hand,0.04,0.4,0.4
GAB,Austria,1976,,6,?,CM-170 Magister,trainer aircraft,6,?,1978,Second hand,Second-hand; sold to via French producer and modernized in France before delivery; for Presidential Guard,0.4,2.4,2.4
GAB,Brazil,1981,?,12,,EE-11 Urutu,APC,12,,1984,New,For presidential guard,0.24,2.94,2.94
GAB,Brazil,1981,,12,,EE-3 Jararaca,reconnaissance AV,12,,1984,New,,0.14,1.68,1.68
GAB,Brazil,1981,,14,,EE-9 Cascavel,armoured car,14,?,1983,New,,0.72,10.08,10.08
GAB,Brazil,1980,,3,,EMB-110 Bandeirante,light transport aircraft,3,,1980,New,Incl 1 for Presidential Guard,2.65,7.95,7.95
GAB,Brazil,1980,,1,,EMB-111,maritime patrol aircraft,1,,1981,New,EMB-110P-1K version,5.5,5.5,5.5
GAB,France,1977,?,3,,A-1 Skyraider,ground attack aircraft,3,?,1978,Second hand,Second-hand; sold via US dealer; for presidential guard,0.92,2.76,2.76
GAB,France,1975,?,4,,A-1 Skyraider,ground attack aircraft,4,,1976,Second hand,Second-hand; aid; for presidential guard; A-1D version,0.92,3.68,3.68
GAB,France,1985,,4,?,ACMAT APC,APC,4,?,1987,New,For police,0.16,0.64,0.64
GAB,France,1980,,18,,AML,armoured car,18,,1980,New,Incl 8 AML-60 and 10 AML-90 versions,0.7,12.6,12.6
GAB,France,1965,?,6,?,AML,armoured car,6,?,1968,New,AML-90 version,0.7,4.2,4.2
GAB,France,1985,,2,,AS-350/AS-550 Fennec,light helicopter,2,?,1985,New,Incl 1 armed with 20mm gun,0.9,1.8,1.8
GAB,France,1984,?,1,,AS-355/AS-555 Fennec,light helicopter,1,,1984,New,For Gendarmerie,1.3,1.3,1.3
GAB,France,1983,,1,,BATRAL,landing ship,1,,1984,New,Orginal order for 2 but 1 cancelled for financial reasons; Gabonese designation Omar Bongo,20,20,20
GAB,France,1961,?,1,,Bell-47/OH-13,light helicopter,1,,1961,Second hand,Second-hand; aid; Bell-47G version,0.1,0.1,0.1
GAB,France,1961,?,3,,MH-1521 Broussard,light aircraft,3,,1961,Second hand,Second-hand; aid,0.15,0.46,0.46
GAB,France,1964,?,1,?,MH-1521 Broussard,light aircraft,1,,1965,Second hand,Second-hand; aid,0.15,0.15,0.15
GAB,France,1962,?,3,,C-47 Skytrain,transport aircraft,3,,1964,Second hand,Second-hand; aid,1,3,3
GAB,France,1961,?,1,,C-47 Skytrain,transport aircraft,1,,1961,Second hand,Second-hand; aid,1,1,1
GAB,France,1968,?,2,,Cessna-337/O-2,light aircraft,2,,1969,New,,0.35,0.7,0.7
GAB,France,1985,,4,,ERC-20 Kriss,self-propelled AA gun,4,?,1987,New,,0.6,2.4,2.4
GAB,France,1985,,9,?,ERC-90,armoured car,9,?,1986; 1987,New,ERC-90 Sagaie version,0.8,7.2,7.2
GAB,France,1960,?,4,?,M-101A1 105mm,towed gun,4,?,1961,Second hand,Second-hand,0.18,0.72,0.72
GAB,France,1960,,15,?,M-3A1 Scout Car,APC/APV,15,?,1961,Second hand,Second-hand; designation uncertain,0.04,0.66,0.66
GAB,France,1982,?,7,?,M-3 VTT,APC,7,?,1983,New,,0.16,1.12,1.12
GAB,France,1985,,40,?,MILAN,anti-tank missile,40,?,1986; 1987,New,Deal incl also 4 launchers,0.01,0.4,0.4
GAB,France,1982,,6,,Mirage-5,FGA aircraft,6,?,1984,New,Mirage-5G-2 version; incl 2 Mirage-5DG-2 version,11.25,67.5,67.5
GAB,France,1973,,5,,Mirage-5,FGA aircraft,5,,1978,New,Mirage-5G version; incl 2 Mirage-5DG version (2 more Mirage-5RG reconnaissance version cancelled),11.25,56.25,56.25
GAB,France,1985,?,4,?,MO-120-RT 120mm,mortar,4,?,1986,New,Designation uncertain,0.3,1.2,1.2
GAB,France,1970,?,3,,N-262 Fregate,transport aircraft,3,,1971; 1973,Second hand,Second-hand; N-262C version; incl for civil use,1.5,4.5,4.5
GAB,France,1976,,1,,Omar Bongo,FAC,1,,1978,New,,12.5,12.5,12.5
GAB,France,1985,,2,,P-400,patrol craft,2,,1988; 1990,New,P-400G version; Gabonese designation Oumar,19,38,38
GAB,France,1973,,2,?,SA-316B Alouette-3,light helicopter,2,?,1974; 1975,New,,0.9,1.8,1.8
GAB,France,1969,?,1,,SA-316B Alouette-3,light helicopter,1,,1970,New,,0.9,0.9,0.9
GAB,France,1964,?,2,,SA-316B Alouette-3,light helicopter,2,,1966,New,,0.9,1.8,1.8
GAB,France,1979,,2,?,SA-330 Puma,helicopter,2,?,1980,New,,6,12,12
GAB,France,1975,,2,,SA-330 Puma,helicopter,2,,1976,New,,6,12,12
GAB,France,1973,?,1,,SA-330 Puma,helicopter,1,?,1974,New,,6,6,6
GAB,France,1970,?,1,,SA-330 Puma,helicopter,1,,1971,New,,6,6,6
GAB,France,1985,,5,,SA-342 Gazelle,light helicopter,5,?,1986; 1987,New,Incl 3 armed version,0.85,4.25,4.25
GAB,France,1976,?,10,?,SS-12M,anti-ship missile,10,?,1978,New,For Omar Bongo FAC,0.02,0.2,0.2
GAB,France,1985,,14,?,VBL,APV,14,?,1986; 1987,New,,0.12,1.68,1.68
GAB,France,1973,?,12,?,VXB-170,APC,12,?,1974,New,,0.3,3.6,3.6
GAB,Japan,1968,?,2,,YS-11A,transport aircraft,2,,1971,New,Incl for civilian use,7.58,15.16,15.16
GAB,Senegal,1974,?,1,,Manga,landing craft,1,,1976,New,,3,3,3
GAB,Spain,1989,,1,,CN-235,transport aircraft,1,,1990,New,CN-235-100 version,9,9,9
GAB,Spain,1983,?,8,,Teruel 140mm,self-propelled MRL,8,,1984,New,,0.6,4.8,4.8
GAB,Sweden,1981,,12,,Hagglunds 20mm,IFV turret,12,,1984,New,For 12 EE-11 APC from Brazil,0.1,1.2,1.2
GAB,Sweden,1985,,1,,SAK-70 Mk-2 57mm,naval gun,1,,1988,New,For 1 P-400 patrol craft from France,2.5,2.5,2.5
GAB,United States,1989,,2,,aircraft engine,aircraft engine,2,,1990,New,General Electric CT-7-9C3 (1750hp) turboprop for 1 CN-235 transport aircraft from Spain,0.5,1,1
GAB,United States,1980,,1,,APS-128,MP aircraft radar,1,,1981,New,For 1 EMB-111 MP aircraft delivered from Brazil,2.5,2.5,2.5
GAB,United States,1977,,1,,C-130H Hercules,transport aircraft,1,,1977,New,,28,28,28
GAB,United States,1981,,1,,C-130H Hercules,transport aircraft,1,,1981,New,$15 m deal; L-100-30 version,28,28,28
GAB,United States,1975,,1,,C-130H Hercules,transport aircraft,1,,1976,New,L-100-20 version,28,28,28
GAB,United States,1973,,1,,C-130H Hercules,transport aircraft,1,,1975,New,L-100-30 version,28,28,28
GAB,United States,1977,?,9,?,Commando V-150,APC,9,?,1978,New,,0.2,1.8,1.8
GAB,United States,1967,?,1,,DC-6/C-118,transport aircraft,1,,1969,Second hand,Second-hand; incl for civilian use,3.4,3.4,3.4
GAB,United States,1974,?,1,,Swiftships-105,patrol craft,1,,1975,New,Gabonese designation N'Guene,5.5,5.5,5.5
GAB,United States,1982,,4,,T-34C Turbo Mentor,trainer aircraft,4,,1982,New,For presidential guard; T-34C-1 armed version,1.35,5.4,5.4
GAB,unknown supplier(s),1971,?,1,?,MFI-9 Junior,trainer aircraft,1,?,1971,Second hand,Second-hand; probably transferred from Biafra,0.06,0.06,0.06
GAM,China,1989,,2,,Type-062,patrol craft,2,,1989,Second hand but modernized,Second-hand but modernized before delivery; aid; Gambian designation Gunjur,5.94,11.88,11.88
GAM,Switzerland,1980,?,1,,BN-2 Islander,light transport aircraft,1,,1981,New,BN-2 Defender armed version,0.6,0.6,0.6
GAM,United Kingdom,1980,?,1,,Skyvan,light transport aircraft,1,,1981,New,,2.5,2.5,2.5
GAM,unknown supplier(s),1969,?,8,,Ferret,APV,8,?,1969,Second hand,Probably second-hand,0.05,0.38,0.38
GNB,Angola,1980,,1,,Do-27,light transport aircraft,1,,1980,Second hand,Second-hand; status uncertain,0.05,0.05,0.05
GNB,China,1983,?,20,?,BTR-152,APC,20,?,1984,Second hand,Second-hand; aid; Type-56 version,0.05,1.04,1.04
GNB,France,1978,,1,,Cessna-337/O-2,light aircraft,1,,1978,New,For MP; FTB-337E version,0.35,0.35,0.35
GNB,France,1984,,1,,SA-313B Alouette-2,light helicopter,1,,1984,Second hand,Second-hand aircraft sold back to France and transferred to Guinea-Bissau; aid,0.28,0.28,0.28
GNB,Germany,1990,?,1,,Kondor,minesweeper,1,,1991,Second hand,Former GDR equipment; armament and minesweeping gear removed before delivery; sold illegaly by civilian company,6,6,6
GNB,East Germany (GDR),1974,?,8,?,MiG-17,fighter aircraft,8,?,1974,Second hand,Second-hand; aid; Lim-5 (MiG-17F) version; no. could be 10; possibly incl some from Soviet Union,1.4,11.2,11.2
GNB,India,1992,?,1,,SDB Mk-3,patrol craft,1,,1993,Second hand,Second-hand,4.72,4.72,4.72
GNB,Portugal,1974,,9,,C-47 Skytrain,transport aircraft,9,,1974,Second hand,Second-hand; handed over at independence; incl for use by LAGB airline,1,9,9
GNB,Portugal,1974,,2,,Do-27,light transport aircraft,2,,1974,Second hand,Second-hand; handed over on independence,0.05,0.1,0.1
GNB,Portugal,1974,,2,,SA-316B Alouette-3,light helicopter,2,,1974,Second hand,Second-hand; handed over on independence,0.36,0.72,0.72
GNB,Soviet Union,1980,?,10,?,BRDM-2,reconnaissance AV,10,?,1980,New,,0.15,1.5,1.5
GNB,Soviet Union,1978,?,15,?,BTR-40,APC,15,?,1978,Second hand,Supplier uncertain; second-hand,0.05,0.72,0.72
GNB,Soviet Union,1979,?,15,?,BTR-60PB,APC,15,?,1979,Second hand,Supplier uncertain; probably second-hand,0.1,1.5,1.5
GNB,Soviet Union,1979,?,9,?,D-30 122mm,towed gun,9,?,1979,New,Possibly Second-hand,0.35,3.15,3.15
GNB,Soviet Union,1979,?,9,,M-30 122mm,towed gun,9,?,1979,Second hand,Second-hand,0.18,1.62,1.62
GNB,Soviet Union,1980,?,50,?,Malyutka,anti-tank missile,50,?,1981,New,,0.01,0.5,0.5
GNB,Soviet Union,1977,?,1,,Mi-8T,transport helicopter,1,,1978,New,Aid,6,6,6
GNB,Soviet Union,1975,?,2,?,MiG-15UTI,trainer aircraft,2,?,1975,Second hand,Second-hand; aid,1.2,2.4,2.4
GNB,Soviet Union,1985,?,7,?,MiG-21bis,fighter aircraft,7,?,1986,Second hand,Second-hand; incl 1 or 2 MiG-21UM trainer version,5,35,35
GNB,Soviet Union,1976,?,8,?,PM-43 120mm,mortar,8,?,1976,Second hand,Supplier uncertain; second-hand,0.1,0.8,0.8
GNB,Soviet Union,1987,?,2,,Project-02065,patrol craft,2,,1988; 1990,New,,20,40,40
GNB,Soviet Union,1975,?,4,?,Project-183,FAC,4,?,1975; 1976,Second hand,Second-hand,4,16,16
GNB,Soviet Union,1979,?,2,,Project-206 Shtorm,FAC,2,,1979,Second hand,Second-hand,9,18,18
GNB,Soviet Union,1977,?,20,?,PT-76,light tank,20,?,1978,Second hand,Supplier uncertain; second-hand,0.36,7.2,7.2
GNB,Soviet Union,1980,,2,?,SON-9,fire control radar,2,?,1980,Second hand,For use with 10 S-60 57mm AA guns; supplier uncertain; probably second-hand,0.24,0.48,0.48
GNB,Soviet Union,1984,?,250,?,Strela-2,portable SAM,250,?,1984,New,,0.04,10,10
GNB,unknown supplier(s),1976,?,10,?,T-34-85,tank,10,?,1976,Second hand,Second-hand,0.38,3.8,3.8
GHA,Canada,1960,,14,,DHC-2 Beaver,light transport aircraft,14,,1961,New,GBP0.35 m deal,0.38,5.32,5.32
GHA,Canada,1960,,12,,DHC-3 Otter,light transport aircraft,12,,1961,New,,0.8,9.6,9.6
GHA,Canada,1960,?,8,,DHC-4 Caribou,transport aircraft,8,,1961,New,,3.75,30,30
GHA,France,1977,?,2,,Canopus,sea search radar,2,,1981,New,For 2 PB-57 (Achimota) patrol craft from FRG,2.5,5,5
GHA,France,1973,,4,,SA-316B Alouette-3,light helicopter,4,,1974,New,,0.9,3.6,3.6
GHA,Germany,1973,,2,,Dela,patrol craft,2,,1975,New,,9,18,18
GHA,Germany,1976,,2,,FPB-45,patrol craft,2,,1980,New,Ghanese designation Dzata,15,30,30
GHA,Germany,1977,,2,,PB-57,patrol craft,2,,1981,New,Ghanan designation Achimota,19,38,38
GHA,India,1958,,12,,HT-2,trainer aircraft,12,,1959,New,,0.1,1.2,1.2
GHA,Israel,1972,?,28,?,M-65 120mm,mortar,28,?,1973,New,,0.25,7,7
GHA,Israel,1959,?,1,,PA-18 Super Cup,light aircraft,1,,1959,Second hand,Second-hand; aid,0.02,0.02,0.02
GHA,Italy,1977,?,2,,Compact 76mm,naval gun,2,,1981,New,For 2 PB-57 (Achimota) patrol craft from FRG,2.5,5,5
GHA,Italy,1966,,7,,MB-326B,trainer/combat aircraft,7,,1966,New,MB-326F version,2.1,14.7,14.7
GHA,Italy,1970,?,2,,MB-326B,trainer/combat aircraft,2,,1972,New,,2.1,4.2,4.2
GHA,Italy,1976,,6,,MB-326K,ground attack aircraft,6,,1978,New,MB-326KG version,2.6,15.6,15.6
GHA,Italy,1987,,4,,MB-339A,trainer/combat aircraft,4,,1987; 1994,New,,5.1,20.4,20.4
GHA,Netherlands,1973,,3,,F-27 Friendship,transport aircraft,3,,1976,New,Incl for photographic survey and SAR; F-27 Mk-400 version,8.5,25.5,25.5
GHA,Netherlands,1973,,2,,F-27 Friendship,transport aircraft,2,,1975; 1976,New,Incl for VIP transport; F-27 Mk-600 version,8.5,17,17
GHA,Nigeria,1989,,12,,L-29 Delfin,trainer aircraft,12,,1989; 1990,Second hand,Second-hand; aid,0.4,4.8,4.8
GHA,Switzerland,1979,?,44,?,Piranha,APC,44,?,1979; 1980,New,6-wheeled and possibly 8-wheeled version,0.27,11.88,11.88
GHA,Switzerland,1979,?,10,?,Piranha,APC,10,?,1979,New,4-wheeled version,0.12,1.2,1.2
GHA,Switzerland,1975,?,40,,Roland,APC,40,?,1976,New,,0.12,4.8,4.8
GHA,United Kingdom,1971,,8,,BN-2 Islander,light transport aircraft,8,,1973,New,GBP0.75 m ($1.8 m) deal; incl 2 photographic survey and 2 ambulance versions,0.6,4.8,4.8
GHA,United Kingdom,1990,,4,,BN-2 Islander,light transport aircraft,4,,1990; 1991,New,Armed BN-2 Defender version,0.6,2.4,2.4
GHA,United Kingdom,1971,?,13,,Bulldog,trainer aircraft,13,,1973; 1975,New,Bulldog-122 version,0.24,3.12,3.12
GHA,United Kingdom,1961,?,2,,DH-114 Heron,light transport aircraft,2,,1963,New,,1.5,3,3
GHA,United Kingdom,1960,?,1,,DH-114 Heron,light transport aircraft,1,,1961,New,For VIP transport,1.5,1.5,1.5
GHA,United Kingdom,1960,?,8,,DHC-1 Chipmunk,trainer aircraft,8,,1961,Second hand,Second-hand; aid,0.05,0.38,0.38
GHA,United Kingdom,1959,?,4,,DHC-1 Chipmunk,trainer aircraft,4,,1960,Second hand,Second-hand; aid,0.05,0.19,0.19
GHA,United Kingdom,1959,?,30,?,Ferret,APV,30,?,1961,New,Possibly Second-hand,0.12,3.6,3.6
GHA,United Kingdom,1961,?,2,,Ford,patrol craft,2,,1962,New,,5.5,11,11
GHA,United Kingdom,1959,,2,,Ham,minesweeper,2,,1960,New,Ghanese designation Afadzato; for use as patrol craft,6,12,12
GHA,United Kingdom,1962,?,2,,Kromanste,patrol craft,2,,1964; 1965,New,,35,70,70
GHA,United Kingdom,1965,,1,,LCT-4,landing craft,1,,1965,Second hand,Second-hand; repair ship version; incl for training,5.32,5.32,5.32
GHA,United Kingdom,1959,?,15,?,Saladin,armoured car,15,?,1961,New,Possibly Second-hand,0.7,10.5,10.5
GHA,United Kingdom,1973,,6,,Skyvan,light transport aircraft,6,,1974,New,$5 m deal,2.5,15,15
GHA,United Kingdom,1964,?,1,,Ton,minesweeper,1,,1964,Second hand,Second-hand; loan until bought in 1974; for use as patrol craft,4.6,4.6,4.6
GHA,United Kingdom,1976,,6,,Viper,turbojet,6,,1978,New,For 6 MB-326KG combat aircraft from Italy; probably from Italian production line,0.4,2.4,2.4
GHA,United Kingdom,1987,,4,,Viper,turbojet,4,,1987; 1994,New,Viper-632 version for 4 MB-339A trainer aircraft from Italy; probably assembled/produced in Italy,0.4,1.6,1.6
GHA,United Kingdom,1966,,7,,Viper,turbojet,7,,1966,New,For 7 MB-326F trainer aircraft from Italy; probably from Italian production line,0.4,2.8,2.8
GHA,United Kingdom,1970,?,2,,Viper,turbojet,2,,1972,New,For 2 MB-326 trainer aircraft from Italy; probably from Italian production line,0.4,0.8,0.8
GHA,United Kingdom,1984,?,1,?,Watchman,air search radar,1,?,1985,New,,5,5,5
GHA,United Kingdom,1964,,3,,Wessex,helicopter,3,,1966,New,Wessex-53 version,2.25,6.75,6.75
GHA,United Kingdom,1960,?,6,,S-55 Whirlwind-10,helicopter,6,,1962,New,Incl 1 for VIP transport; Whirlwind-3 version,1.5,9,9
GHA,United States,1971,?,2,,Bell-212/UH-1N,helicopter,2,,1972,New,Incl for VIP transport,3.7,7.4,7.4
GHA,United States,1987,?,1,,C-212,transport aircraft,1,,1987,Second hand,Second-hand; C-212-200 version,1.52,1.52,1.52
GHA,United States,1963,?,5,?,Model-300,light helicopter,5,?,1963,New,No. could be 6,0.2,1,1
GHA,United States,1967,,3,,S-55,helicopter,3,,1967,Second hand,Second-hand,0.48,1.44,1.44
GHA,United States,1979,?,54,?,vehicle engine,vehicle engine,54,?,1979; 1980,New,6V-53 diesel engine; for 54 Piranha APC from Switzerland,0.03,1.62,1.62
GHA,Soviet Union,1960,?,2,,An-12,transport aircraft,2,,1961,New,Aid,23,46,46
GHA,Soviet Union,1963,?,1,,Mi-4A,helicopter,1,,1963,New,Aid,1.88,1.88,1.88
GRC,Austria,1981,,100,,4K-4F,APC,100,?,1982; 1983; 1984,New,Produced under licence in Greece; Greek designation Leonidas-1,0.3,30,30
GRC,Austria,1987,,344,?,4K-7FA,APC,344,?,1988; 1989; 1990; 1991; 1992; 1993; 1994,New,Produced under licence in Greece; Greek designation Leonidas-2,0.3,103.2,103.2
GRC,Canada,1978,,5,?,aircraft engine,aircraft engine,5,?,1979,New,Pratt & Whitney Canada PT-6A-68T-3 (1800hp) turboshaft; for 5 AB-212ASW ASW helicopters from Italy,0.5,2.5,2.5
GRC,Canada,1982,,7,?,aircraft engine,aircraft engine,7,?,1984,New,Pratt & Whitney Canada PT-6A-68T-3 (1800hp) turboshaft; for 7 AB-212ASW ASW helicopters from Italy,0.5,3.5,3.5
GRC,Canada,1980,,2,,SQS-505,ASW sonar,2,,1981; 1982,New,For 2 Kortenaer frigates from Netherlands,5,10,10
GRC,Canada,1954,?,9,?,T-33A Shooting Star,trainer aircraft,9,,1955,New,,2.5,22.5,22.5
GRC,Canada,1957,?,22,?,T-33A Shooting Star,trainer aircraft,22,?,1958; 1959,New,,2.5,55,55
GRC,Denmark,1988,,2,,Osprey-55,OPV,2,,1990,New,Greek designation Armatolos; produced under licence in Greece; options on more not used,22,44,44
GRC,France,1974,?,29,,AMX-10,APC,29,?,1976; 1977,New,Incl 23 AMX-10PC command post and 6 AMX-10SAn ambulance versions,0.3,8.7,8.7
GRC,France,1974,?,69,?,AMX-10P,IFV,69,?,1976; 1977,New,Incl some AMX-10PC command post and AMX-10SAn ambulance version,0.9,62.1,62.1
GRC,France,1974,,130,?,AMX-30B,tank,130,?,1976; 1977; 1978,New,$75 m deal,1.8,234,234
GRC,France,1970,,55,?,AMX-30B,tank,55,?,1971,New,$33 m deal,1.8,99,99
GRC,France,1974,?,14,,AMX-30D,ARV,14,?,1976; 1977; 1978,New,,1.4,19.6,19.6
GRC,France,1975,?,30,?,AS-12,anti-ship missile/ASM,30,?,1975,New,For SA-319 helicopters,0.02,0.6,0.6
